date,debt
2010-11-01,179
2010-12-01,165
2011-01-01,142
2011-02-01,146
2011-03-01,174
2011-04-01,157
2011-05-01,126
2011-06-01,158
2011-07-01,198
2011-08-01,245
2011-09-01,205
2011-10-01,160
2011-11-01,166
2011-12-01,189
2012-01-01,178
2012-02-01,150
2012-03-01,138
2012-04-01,137
2012-05-01,159
2012-06-01,195
2012-07-01,185
2012-08-01,152
2012-09-01,175
2012-10-01,166
2012-11-01,187
2012-12-01,193
2013-01-01,158
2013-02-01,115
2013-03-01,125
2013-04-01,119
2013-05-01,104
2013-06-01,115
2013-07-01,94
2013-08-01,103
2013-09-01,144
2013-10-01,171
2013-11-01,90
2013-12-01,105
2014-01-01,94
2014-02-01,89
2014-03-01,93
2014-04-01,91
2014-05-01,90
2014-06-01,81
2014-07-01,77
2014-08-01,71
2014-09-01,84
2014-10-01,100
2014-11-01,89
2014-12-01,85
2015-01-01,117
2015-02-01,100
2015-03-01,105
2015-04-01,110
2015-05-01,101
2015-06-01,109
2015-07-01,99
2015-08-01,130
2015-09-01,139
2015-10-01,103
2015-11-01,92
2015-12-01,99
2016-01-01,119
2016-02-01,115
2016-03-01,104
2016-04-01,84
2016-05-01,82
2016-06-01,163
2016-07-01,122
2016-08-01,92
2016-09-01,80
2016-10-01,93
2016-11-01,169
2016-12-01,115
2017-01-01,135
2017-02-01,133
2017-03-01,120
2017-04-01,122
2017-05-01,104
2017-06-01,99
2017-07-01,111
2017-08-01,109
2017-09-01,97
2017-10-01,102
2017-11-01,94
2017-12-01,111
2018-01-01,124
2018-02-01,94
2018-03-01,136
2018-04-01,108
2018-05-01,125
2018-06-01,109
2018-07-01,133
2018-08-01,99
2018-09-01,103
2018-10-01,112
2018-11-01,130
2018-12-01,166
2019-01-01,201
2019-02-01,107
2019-03-01,140
2019-04-01,99
2019-05-01,121
